ID,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,POLICE DISTRICT,LATITUDE,LONGITUDE
1932760-20101116,5629 N MILWAUKEE AVE 1ST ,CHICAGO,IL,60646,45,9,16,41.98374436,-87.77492919
1933228-20101116,1524 N MILWAUKEE AVE FIRST ,CHICAGO,IL,60622,1,,,41.90913709,-87.6757528
1622943-20100916,200 W MONROE ST  ,CHICAGO,IL,60606,2,49,1,41.88076896,-87.63387497
1933585-20101116,2135 W DIVISION ST 1ST ,CHICAGO,IL,60622,32,12,12,41.90301362,-87.68110599
1921957-20100816,2700 S RIDGEWAY AVE 1ST ,CHICAGO,IL,60623,22,25,10,41.84240395,-87.71855052
1937189-20101116,5781 N MILWAUKEE AVE 1ST ,CHICAGO,IL,60646,45,3,16,41.98670603,-87.77763767
1169808-20110316,980 N MICHIGAN AVE 17TH 1710,CHICAGO,IL,60611,42,42,18,41.90080165,-87.62427247
1801748-20110316,900 N MICHIGAN AVE 5 L5-21,CHICAGO,IL,60611,42,61,18,41.8992486,-87.62427498
1937513-20101116,10000 W OHARE AIRPORT   ,CHICAGO,IL,60666,41,,,41.9797288,-87.90232236
1682501-20110316,980 N MICHIGAN AVE  1400,CHICAGO,IL,60611,42,42,18,41.90080165,-87.62427247
68174-20110316,46 E CHICAGO AVE BSMT ,CHICAGO,IL,60611,42,32,18,41.89681131,-87.6264488
2054772-20100830,11236 S TORRENCE AVE 1 ,CHICAGO,IL,60617,10,,,41.69080068,-87.55959706
1333919-20110316,845 N MICHIGAN AVE  211,CHICAGO,IL,60611,42,37,18,41.89807992,-87.62394571
13843-20110316,5946 W FULLERTON AVE  ,CHICAGO,IL,60639,29,53,25,41.92394496,-87.7751896
80396-20110316,444 N MICHIGAN AVE  500 5,CHICAGO,IL,60611,42,48,18,41.89071448,-87.62426987
1578016-20110316,500 N MICHIGAN AVE 9TH 910,CHICAGO,IL,60611,42,48,18,41.89097123,-87.62427695
1921982-20100816,6727 N NORTHWEST HWY 1 1,CHICAGO,IL,60631,41,5,16,42.00343796,-87.81696786
6370-20100816,6046- N AVONDALE AVE  ,CHICAGO,IL,60631,41,64,16,41.99107996,-87.7990758
1959405-20101116,1532 N MILWAUKEE AVE 2 206,CHICAGO,IL,60622,1,8,14,41.90927856,-87.67597394
1937896-20101116,1330 N MILWAUKEE AVE 1ST ,CHICAGO,IL,60642,1,5,14,41.90584088,-87.67059736
1544355-20110316,9 E HURON ST  ,CHICAGO,IL,60611,42,56,18,41.89477239,-87.62773683
2054774-20100830,770 N HALSTED ST 1ST 106,CHICAGO,IL,60642,27,54,12,41.89637817,-87.64789119
1937959-20101116,1744 W GRAND AVE 1ST ,CHICAGO,IL,60622,26,35,12,41.89102534,-87.67134694
1938059-20101116,1259 N ASHLAND AVE 1 & 2 ,CHICAGO,IL,60622,1,37,14,41.90494264,-87.667391
2054775-20100908,222 S RIVERSIDE PLZ 34 34,CHICAGO,IL,60606,2,,,41.87858156,-87.63857867
2054511-20101012,730 W RANDOLPH ST 5 ,CHICAGO,IL,60661,27,1,12,41.88452047,-87.64695489
1948561-20101116,1455 W HUBBARD ST 1 1,CHICAGO,IL,60642,27,18,12,41.88981601,-87.66438916
36085-20100816,6000 N NORTHWEST HWY  ,CHICAGO,IL,60631,41,35,16,41.99014624,-87.79544401
46061-20100816,3101 W 26TH ST 1ST ,CHICAGO,IL,60623,12,6,10,41.8444375,-87.70262831
1678493-20100916,318 W ADAMS ST  1406,CHICAGO,IL,60606,2,12,1,41.8794728,-87.63580748
1938522-20101116,4205 W LAKE TERRACE   ,STONE PARK,IL,60165,,,,41.88564849,-87.73101302
