ID,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,POLICE DISTRICT,LATITUDE,LONGITUDE
21119-20100816,713 N SPAULDING AVE 1ST-3RD ,CHICAGO,IL,60624,27,48,11,41.89413538,-87.70880783
1887658-20100816,1339 S HOMAN AVE  ,CHICAGO,IL,60623,24,35,10,41.86327717,-87.71030455
1491171-20100816,4115 W 31ST ST 1 ,CHICAGO,IL,60623,22,16,10,41.83673647,-87.72747862
31662-20100916,225 S CANAL ST  ,CHICAGO,IL,60606,2,12,1,41.87853128,-87.63942746
2069140-20101123,67 E 43RD ST 1 1,CHICAGO,IL,60653,3,15,2,41.81642056,-87.62356598
2069141-20101124,1608 N MILWAUKEE AVE 11 1108,CHICAGO,IL,60647,32,2,14,41.9105442,-87.67794052
2069147-20101208,4639 N BROADWAY  1 ,CHICAGO,IL,60640,46,32,19,41.96645582,-87.65798433
2069152-20101124,4753 N LINCOLN AVE 1 ,CHICAGO,IL,60625,47,20,19,41.96805207,-87.68804
2069156-20101124,3115 W 26TH ST 1ST ,CHICAGO,IL,60623,12,6,10,41.84442867,-87.70323687
2069157-20101124,809-811 E 79TH ST 1ST ,CHICAGO,IL,60619,8,43,6,41.75118129,-87.60482882
1927943-20101216,3714 W BELMONT AVE 1ST ,CHICAGO,IL,60618,35,33,17,41.93928745,-87.72048561
1478154-20101216,3340 W NEWPORT AVE  ,CHICAGO,IL,60618,35,24,17,41.94364473,-87.71190916
2064279-20110526,1 S WACKER DR 29TH 2920,CHICAGO,IL,60606,2,12,1,41.88188623,-87.63661833
1893146-20101216,3040 W IRVING PARK RD 1ST ,CHICAGO,IL,60618,33,11,17,41.95404965,-87.70480759
23158-20101216,4325 N LINCOLN AVE  ,CHICAGO,IL,60618,47,28,19,41.96036708,-87.68295106
76366-20100816,3645 W 25TH ST 1ST ,CHICAGO,IL,60623,22,13,10,41.84608565,-87.71657691
2084001-20110614,4507 N SHERIDAN RD 1 1,CHICAGO,IL,60640,46,26,19,41.96385527,-87.65462401
2069159-20101126,3423 N DRAKE AVE  ,CHICAGO,IL,60618,35,24,17,41.94383694,-87.71614127
2069162-20101130,2238-48 N CICERO AVE  ,CHICAGO,IL,60639,31,42,25,41.92175368,-87.74638596
2087865-20110517,801-811 S CICERO AVE 1 1,CHICAGO,IL,60644,24,41,11,41.87036638,-87.74475049
2087969-20110608,5217 W FULLERTON AVE 1ST ,CHICAGO,IL,60639,37,1,25,41.92398587,-87.75683601
2069174-20101124,3745 W CHICAGO AVE 1 1,CHICAGO,IL,60651,27,47,11,41.89531044,-87.72053748
32628-20100916,200 N MICHIGAN AVE  ,CHICAGO,IL,60601,42,9,1,41.88580155,-87.62465977
2069184-20101124,4660 N ELSTON AVE GROUND ,CHICAGO,IL,60630,45,14,17,41.9656683,-87.73680646
2088541-20110613,3200 S KEDZIE AVE 1ST 1X,CHICAGO,IL,60623,22,,,41.83517807,-87.70490856
84334-20101216,2138 W BELMONT AVE 1ST ,CHICAGO,IL,60618,32,42,19,41.93963416,-87.68233109
2069196-20101126,6956 W DIVERSEY AVE 1 ,CHICAGO,IL,60707,36,14,25,41.93093632,-87.80017042
2089083-20110615,10 W 35TH ST 2ND ,CHICAGO,IL,60616,3,53,2,41.83111342,-87.6269922
1478340-20101216,4073 N ELSTON AVE  ,CHICAGO,IL,60618,33,29,17,41.95521188,-87.72114747
1519580-20101216,7320 S STONY ISLAND AVE  ,CHICAGO,IL,60649,5,19,3,41.76173419,-87.58636009
41499-20110616,2845 W 48TH PL  ,CHICAGO,IL,60632,14,33,9,41.80545524,-87.69590329
31148-20101216,7854 S JEFFERY BLVD 1ST ,CHICAGO,IL,60649,8,23,4,41.75180758,-87.57613388
35611-20110616,4737 S CHRISTIANA AVE  ,CHICAGO,IL,60632,14,20,8,41.80696134,-87.70747914
2069200-20101203,3018 N OAKLEY AVE 1ST ,CHICAGO,IL,60618,1,42,19,41.93645162,-87.6857035
2069205-20101129,437 E 103RD ST FIRST ,CHICAGO,IL,60628,9,1,5,41.70722688,-87.61231706
43004-20101216,2802 N WESTERN AVE # 1ST,CHICAGO,IL,60618,1,7,14,41.93221699,-87.68803328
1196727-20100816,6122 N NORTHWEST HWY  ,CHICAGO,IL,60631,41,19,16,41.99274651,-87.79993013
2069214-20101129,1811 W NORTH AVE 4TH 402,CHICAGO,IL,60622,1,21,14,41.91044395,-87.67305724
15206-20110616,5946 S WESTERN AVE  1,CHICAGO,IL,60636,16,44,8,41.78515581,-87.68394599
34009-20100916,1151 S WOOD ST 1ST ,CHICAGO,IL,60612,2,42,12,41.86695926,-87.67120735
17155-20101216,2524 E 75TH ST 1ST ,CHICAGO,IL,60649,7,23,3,41.75915377,-87.56204709
1969478-20101216,3962 N ELSTON AVE 1ST ,CHICAGO,IL,60618,33,9,17,41.95319639,-87.71862219
2021267-20101216,4153 N LINCOLN AVE 1ST ,CHICAGO,IL,60618,47,35,19,41.95739698,-87.68086301
1887484-20101216,3025 N MILWAUKEE AVE 1 ,CHICAGO,IL,60618,35,13,25,41.93626118,-87.71896404
16485-20110616,6200 S OAKLEY AVE  ,CHICAGO,IL,60636,15,33,8,41.78096419,-87.68130088
1243365-20101216,4249 N LINCOLN AVE  ,CHICAGO,IL,60618,47,28,19,41.95911678,-87.68207185
2069228-20101130,1913 W DIVERSEY PKWY 1 ,CHICAGO,IL,60614,32,24,19,41.9322066,-87.67563733
21120-20100816,3341 W CERMAK RD 1ST ,CHICAGO,IL,60623,22,29,10,41.85160877,-87.70923791
1221590-20100816,7244 W TOUHY AVE  ,CHICAGO,IL,60631,41,1,16,42.01178295,-87.80840305
2069234-20101130,3340 N CLARK ST 2 225,CHICAGO,IL,60657,44,20,19,41.94271739,-87.65308345
2049817-20101129,4463 W LAWRENCE AVE 1ST ,CHICAGO,IL,60630,45,10,17,41.96799647,-87.7403944
2069258-20101129,6400 N NORTHWEST HWY 1 ,CHICAGO,IL,60631,41,15,16,41.9969237,-87.80694519
2069262-20101201,3200 S KEDZIE AVE 1 2F,CHICAGO,IL,60623,22,15,10,41.83517807,-87.70490856
20025-20110616,4344 W 45TH ST  ,CHICAGO,IL,60632,14,25,8,41.81152167,-87.73299882
21366-20110616,4607 S PULASKI RD  ,CHICAGO,IL,60632,14,27,8,41.80944508,-87.72349569
2069271-20101129,6908 W BELMONT AVE 1ST ,CHICAGO,IL,60634,36,46,16,41.93822679,-87.79854508
2069274-20101130,230 W SUPERIOR ST LL ,CHICAGO,IL,60654,42,68,18,41.89568451,-87.63552196
2069281-20101129,722 W 69TH ST 1ST ,CHICAGO,IL,60621,6,15,7,41.76897765,-87.64269336
2069282-20101209,7 E SUPERIOR ST 1ST ,CHICAGO,IL,60611,42,56,18,41.89557194,-87.62784531
1477740-20101216,2201 W ROSCOE ST  ,CHICAGO,IL,60618,32,15,19,41.94304639,-87.68335791
44514-20110616,3800 W 38TH ST  ,CHICAGO,IL,60632,14,27,8,41.82314049,-87.71958937
27078-20110616,4747 S KEDZIE AVE  ,CHICAGO,IL,60632,14,33,9,41.80679517,-87.70379164
2008452-20100816,3101 W CERMAK RD 1ST D,CHICAGO,IL,60623,24,57,10,41.85168886,-87.70287161
58866-20101216,2052 W IRVING PARK RD  ,CHICAGO,IL,60618,47,35,19,41.95423451,-87.68091992
43716-20101216,3844 N ELSTON AVE 1ST ,CHICAGO,IL,60618,35,26,17,41.95115137,-87.71566104
28631-20101216,2008 W MONTROSE AVE  1,CHICAGO,IL,60618,47,45,19,41.96156291,-87.67937037
2048931-20100728,122 E 35TH ST 1 B,CHICAGO,IL,60616,3,53,2,41.83116426,-87.62219866
1223451-20100816,4425 W 16TH ST # B,CHICAGO,IL,60623,24,54,10,41.85860569,-87.7357337
34257-20100916,2033 W WALNUT ST  ,CHICAGO,IL,60612,27,27,12,41.8857318,-87.67809663
2069291-20101207,8770 W BRYN MAWR AVE 1 1000,CHICAGO,IL,60631,41,28,16,41.98105716,-87.8463105
2069293-20101130,2815 N BROADWAY  1ST ,CHICAGO,IL,60657,44,41,19,41.93323243,-87.64463537
2069297-20101130,3543-3545 N CICERO AVE 1ST ,CHICAGO,IL,60641,30,39,17,41.94596447,-87.74690878
2069302-20101130,4755 S ASHLAND AVE 1ST ,CHICAGO,IL,60609,20,15,9,41.8069892,-87.66478061
2021294-20100928,123 E 111TH ST 1ST ,CHICAGO,IL,60628,9,43,5,41.69251264,-87.62004159
2069304-20101130,2100 E 71ST ST 1 1,CHICAGO,IL,60649,5,47,3,41.76637351,-87.57379678
52776-20110616,5040 S ARCHER AVE  ,CHICAGO,IL,60632,14,28,8,41.80143565,-87.72581041
2069310-20101130,5901 N CICERO AVE 2ND 207,CHICAGO,IL,60646,39,20,17,41.98881553,-87.74817539
61735-20110616,3101 W 47TH ST # 1ST,CHICAGO,IL,60632,14,33,9,41.80805327,-87.70158668
1475491-20100916,2300 W GRAND AVE  ,CHICAGO,IL,60612,26,46,12,41.89081045,-87.68431333
2069325-20101130,1901 W CHICAGO AVE 1ST ,CHICAGO,IL,60622,1,11,12,41.89584,-87.67466884
61863-20110616,5821 S CLAREMONT AVE 1ST ,CHICAGO,IL,60636,16,6,8,41.78776864,-87.68232197
2069327-20101201,4118 N NASHVILLE AVE 1 ,CHICAGO,IL,60634,38,12,16,41.95300313,-87.7915042
62998-20110616,4950 S KILBOURN AVE 1ST ,CHICAGO,IL,60632,23,53,8,41.80252178,-87.73581686
2026463-20100922,7144 N HARLEM AVE 1ST 303,CHICAGO,IL,60631,41,1,16,42.01123309,-87.80678878
1804372-20101216,3927 N CENTRAL PARK AVE 1ST ,CHICAGO,IL,60618,33,16,17,41.95281056,-87.71763778
2069350-20101130,6557 S KEDZIE AVE 1 ,CHICAGO,IL,60629,15,44,8,41.77361131,-87.70286689
2069370-20101201,1216 W BELMONT AVE GROUND ,CHICAGO,IL,60657,44,9,19,41.93993748,-87.65966306
2069371-20101201,104 W 111TH ST 1ST FLOOR ,CHICAGO,IL,60628,34,37,5,41.69265911,-87.62608929
2328-20110616,5211 S ARCHER AVE  1,CHICAGO,IL,60632,23,41,8,41.79981129,-87.73495971
1964500-20101216,4109 N KEDZIE AVE STOREFRONT ,CHICAGO,IL,60618,33,11,17,41.95602133,-87.70793096
2335-20110616,1511 W 63RD ST 1ST ,CHICAGO,IL,60636,16,45,7,41.77939152,-87.66229707
2338-20110616,6801 S ASHLAND AVE  1,CHICAGO,IL,60636,17,1,7,41.77028327,-87.66381924
2033000-20100513,1441 W MORSE AVE GROUND ,CHICAGO,IL,60626,49,23,24,42.00776899,-87.66754693
2367-20110616,4547 S ARCHER AVE 1ST ,CHICAGO,IL,60632,14,10,8,41.81077037,-87.70941762
2441-20110616,4223 W 55TH ST 1ST ,CHICAGO,IL,60632,13,24,8,41.79304229,-87.72913279
2511-20110616,5088 S ARCHER AVE 1ST ,CHICAGO,IL,60632,23,25,8,41.80102854,-87.72847222
1225324-20100816,1559 S PULASKI RD  ,CHICAGO,IL,60623,24,15,10,41.85896169,-87.72481049
2048954-20100729,2014 W DIVISION ST 1 ,CHICAGO,IL,60622,1,17,14,41.90328914,-87.6779141
6723-20110616,6217 S ASHLAND AVE  1ST,CHICAGO,IL,60636,16,45,7,41.78074987,-87.66410413
7859-20110616,6453 S ASHLAND AVE  1ST,CHICAGO,IL,60636,17,14,7,41.77609593,-87.66398323
2069380-20101203,3200 S KEDZIE AVE 1 2A,CHICAGO,IL,60623,22,15,10,41.83517807,-87.70490856
8277-20110616,4879 S ARCHER AVE 1ST ,CHICAGO,IL,60632,14,13,8,41.80454704,-87.71956498
1335629-20101216,4152 N WESTERN AVE  ,CHICAGO,IL,60618,47,17,19,41.95743144,-87.68871378
2069393-20101201,1834 W NORTH AVE LOWER LEVEL ,CHICAGO,IL,60622,32,35,14,41.91064911,-87.67394775
9487-20110616,4300 S ARCHER AVE  ,CHICAGO,IL,60632,14,23,9,41.81547066,-87.70222735
9575-20110616,4657-4659 W 47TH ST  ,CHICAGO,IL,60632,23,50,8,41.80754481,-87.74055488
33521-20110616,5262 S KOLMAR AVE 1ST ,CHICAGO,IL,60632,23,41,8,41.79683345,-87.73688823
10507-20110616,5100 S KEDZIE AVE  ,CHICAGO,IL,60632,14,34,8,41.80072726,-87.70391022
10697-20110616,4444 S KILDARE BLVD  ,CHICAGO,IL,60632,14,25,8,41.81189337,-87.73137507
12523-20110616,6200 S ASHLAND AVE 1ST ,CHICAGO,IL,60636,16,45,7,41.78120045,-87.66440654
13381-20110616,5056 S ARCHER AVE  1ST,CHICAGO,IL,60632,14,28,8,41.80129899,-87.72670127
14567-20110616,3214 W 55TH ST 1ST ,CHICAGO,IL,60632,14,34,8,41.79361326,-87.70426235
15226-20110616,4419 S TRIPP AVE # 1ST,CHICAGO,IL,60632,14,25,8,41.8125143,-87.72980755
16720-20110616,3500 W 38TH ST 1ST ,CHICAGO,IL,60632,12,11,9,41.82440264,-87.71193027
17105-20110616,2655 W 48TH ST  ,CHICAGO,IL,60632,14,30,9,41.80643934,-87.69135057
2069407-20101202,422 1/2 E 87TH ST MAIN ,CHICAGO,IL,60619,6,1,6,41.73662756,-87.61350497
17960-20110616,5653 S ASHLAND AVE  1ST,CHICAGO,IL,60636,16,5,7,41.79065014,-87.66434963
2069419-20101202,4600 W CHICAGO AVE 1ST ,CHICAGO,IL,60651,37,21,11,41.8952008,-87.74161235
19871-20110616,3535 S KOSTNER AVE  ,CHICAGO,IL,60632,,,10,41.82864333,-87.73528012
19918-20110616,4617 S ARCHER AVE  ,CHICAGO,IL,60632,14,10,8,41.80948967,-87.71150994
20170-20110616,6959 S RACINE AVE  ,CHICAGO,IL,60636,17,49,7,41.76696489,-87.65401881
20947-20110616,3719 S KEDZIE AVE  1,CHICAGO,IL,60632,12,12,9,41.82552332,-87.70433461
21138-20110616,4826 S PULASKI RD 1ST ,CHICAGO,IL,60632,14,28,8,41.80520663,-87.72365178
22330-20110616,4748 S ST LOUIS AVE  ,CHICAGO,IL,60632,14,10,8,41.80670216,-87.71142971
2048959-20100728,446 E 43RD ST 1ST ,CHICAGO,IL,60653,3,2,2,41.81678223,-87.61463974
41275-20100916,303 E WACKER DR  CONCO,CHICAGO,IL,60601,42,50,1,41.88770538,-87.62058814
22337-20110616,5212 S ARCHER AVE  1,CHICAGO,IL,60632,23,41,8,41.80001849,-87.73506931
23424-20110616,2625 W 51ST ST  1,CHICAGO,IL,60632,14,33,9,41.80094202,-87.69027387
23520-20110616,1815 W 69TH ST  1,CHICAGO,IL,60636,17,62,7,41.76837803,-87.66941962
2069432-20101202,1253 W 18TH ST FIRST ,CHICAGO,IL,60608,25,17,12,41.85780432,-87.65855472
24287-20110616,5096 S ARCHER AVE  1ST,CHICAGO,IL,60632,23,25,8,41.80095557,-87.72894818
27067-20110616,3230 W 38TH ST  ,CHICAGO,IL,60632,12,11,9,41.82449188,-87.70571531
29386-20110616,4881 S ARCHER AVE  1,CHICAGO,IL,60632,14,13,8,41.80450939,-87.71962643
1933385-20101216,4003 N ELSTON AVE 1ST ,CHICAGO,IL,60618,33,9,17,41.9539084,-87.71923157
29830-20110616,4950 S KILBOURN AVE  REAR,CHICAGO,IL,60632,23,53,8,41.80252178,-87.73581686
2048966-20100728,3934 W 26TH ST 2 207,CHICAGO,IL,60623,22,4,10,41.84437813,-87.7233959
42021-20100916,200 N LA SALLE ST  2900,CHICAGO,IL,60601,42,9,1,41.88576112,-87.63259515
31586-20110616,4600 W 48TH ST 1ST ,CHICAGO,IL,60632,23,50,8,41.80596197,-87.73885969
68789-20101216,4155 N ROCKWELL ST 1ST ,CHICAGO,IL,60618,47,16,19,41.95743873,-87.69317938
31596-20110616,2637 W 47TH ST 1ST ,CHICAGO,IL,60632,14,30,9,41.8082272,-87.69083819
32848-20110616,4444 S ARCHER AVE 2ND ,CHICAGO,IL,60632,14,10,8,41.81263697,-87.70684371
32991-20110616,5200 S ARCHER AVE 1ST ,CHICAGO,IL,60632,23,41,8,41.80010754,-87.73446827
33167-20110616,4234 S ARCHER AVE 1ST ,CHICAGO,IL,60632,14,26,9,41.81652904,-87.70050291
34626-20110616,3801 W 55TH ST  ,CHICAGO,IL,60632,23,29,8,41.793165,-87.71831811
10266-20101216,3007 W IRVING PARK RD 1ST ,CHICAGO,IL,60618,33,6,17,41.95383808,-87.70346396
38819-20110616,5257 S KEDZIE AVE 1ST ,CHICAGO,IL,60632,14,37,9,41.79731707,-87.70351686
40817-20110616,5028 S WASHTENAW AVE  1ST,CHICAGO,IL,60632,14,33,9,41.80196833,-87.69173011
42113-20110616,4144 W 47TH ST 1ST ,CHICAGO,IL,60632,14,2,8,41.80792843,-87.72782613
43124-20110616,6240 S ASHLAND AVE  ,CHICAGO,IL,60636,16,45,7,41.78006495,-87.66438187
21822-20100816,4031 W MADISON ST  1,CHICAGO,IL,60624,28,13,11,41.88060145,-87.72693013
2048980-20100728,2830 N BROADWAY  1ST ,CHICAGO,IL,60657,44,,,41.93369558,-87.6447703
2048901-20100923,7141 S JEFFERY BLVD 1 4,CHICAGO,IL,60649,5,54,3,41.76490026,-87.57612666
44420-20110616,5181 S ARCHER AVE  ,CHICAGO,IL,60632,23,41,8,41.80001151,-87.73363087
44709-20110616,2845 W 48TH PL 1ST ,CHICAGO,IL,60632,14,33,9,41.80545524,-87.69590329
45557-20110616,4657 W 47TH ST 1ST ,CHICAGO,IL,60632,23,50,8,41.80754481,-87.74055488
2069438-20101202,1418 N MILWAUKEE AVE 1ST ,CHICAGO,IL,60642,1,10,14,41.9076325,-87.67339873
45811-20110616,5312 S KEDZIE AVE 1ST ,CHICAGO,IL,60632,14,34,8,41.79676645,-87.70379541
45812-20110616,4334 S TRIPP AVE 1ST ,CHICAGO,IL,60632,14,25,8,41.81407979,-87.73015203
2069447-20101203,1034 N MILWAUKEE AVE STOREFORNT ,CHICAGO,IL,60642,27,56,12,41.90062367,-87.66244196
46174-20110616,4301 S WHIPPLE ST  1ST,CHICAGO,IL,60632,14,23,9,41.81536433,-87.70041056
46227-20110616,7450 S ASHLAND AVE  1,CHICAGO,IL,60636,17,32,7,41.75805878,-87.66375988
46778-20110616,5151 S HARDING AVE  1,CHICAGO,IL,60632,23,24,8,41.79905361,-87.72190727
47909-20110616,4344 W 45TH ST 1ST ,CHICAGO,IL,60632,14,25,8,41.81152167,-87.73299882
49062-20110616,5729 S WESTERN AVE # 1ST,CHICAGO,IL,60636,16,6,8,41.78931677,-87.68376534
2069455-20101203,333 W 119TH ST 1ST ,CHICAGO,IL,60628,34,17,5,41.67782162,-87.6311268
49090-20110616,5913 S ASHLAND AVE 1ST ,CHICAGO,IL,60636,15,37,7,41.78631946,-87.66423817
2069458-20101203,4800 S RICHMOND ST BASEMENT ,CHICAGO,IL,60632,14,33,9,41.80625372,-87.69795934
50100-20110616,7257 S WESTERN AVE 1ST ,CHICAGO,IL,60636,18,5,8,41.76120164,-87.68300288
1650213-20101216,3624 W BELMONT AVE  ,CHICAGO,IL,60618,35,33,17,41.93930952,-87.71853994
2049334-20100914,6930 S PULASKI RD 1ST ,CHICAGO,IL,60629,13,46,8,41.76677725,-87.72260791
50788-20110616,7353 S WESTERN AVE 1ST ,CHICAGO,IL,60636,18,33,8,41.75949451,-87.6829644
2069461-20101203,3210 W LAWRENCE AVE 1 ,CHICAGO,IL,60625,39,22,17,41.9685543,-87.708957
50835-20110616,6726 S ASHLAND AVE 1ST ,CHICAGO,IL,60636,15,46,7,41.77136438,-87.66414324
2069463-20101206,8006 S WESTERN AVE 1ST ,CHICAGO,IL,60620,18,54,8,41.74806823,-87.68294722
52364-20110616,5303 S KEELER AVE 1ST ,CHICAGO,IL,60632,23,6,8,41.79668573,-87.72801829
2069469-20101202,3115 W 26TH ST 1ST ,CHICAGO,IL,60623,12,6,10,41.84442867,-87.70323687
52810-20110616,5220 S PULASKI RD  C174-,CHICAGO,IL,60632,23,6,8,41.79799187,-87.72344374
2048984-20100728,217 W HURON ST LOWER LEVEL ,CHICAGO,IL,60654,42,68,18,41.89467102,-87.63490437
44739-20100916,205 W WACKER DR  1900,CHICAGO,IL,60606,42,9,1,41.8867073,-87.63415039
2049401-20100809,828 S WABASH AVE 1 ,CHICAGO,IL,60605,2,,,41.8714442,-87.62607513
52941-20110616,6204 S WOLCOTT AVE 1ST ,CHICAGO,IL,60636,15,5,7,41.7809854,-87.67166979
54189-20110616,3150 W 36TH ST  1,CHICAGO,IL,60632,12,2,9,41.82819597,-87.70412768
2069478-20101203,117 N JEFFERSON ST 3RD 303,CHICAGO,IL,60661,42,21,1,41.88374208,-87.64256791
56055-20110616,2900 W 36TH ST 1ST ,CHICAGO,IL,60632,12,2,9,41.8283285,-87.6972793
2049438-20100927,3939 W DIVISION ST 1 ,CHICAGO,IL,60651,27,2,11,41.90257162,-87.72532489
2069480-20101202,3534 W LAWRENCE AVE 1ST ,CHICAGO,IL,60625,39,22,17,41.96847128,-87.71725282
56658-20110616,4675 S ARCHER AVE  CAR L,CHICAGO,IL,60632,14,11,8,41.80826496,-87.71350517
2069254-20101202,2 N RIVERSIDE PLZ 10TH 1050,CHICAGO,IL,60606,42,21,1,41.88197705,-87.63887584
2049441-20100809,1785 W HOWARD ST 1 0,CHICAGO,IL,60626,49,5,24,42.01928873,-87.67587631
2069499-20101206,3021 W 63RD ST 1S ,CHICAGO,IL,60629,15,25,8,41.77891996,-87.69924013
59775-20110616,2648 W 50TH ST  ,CHICAGO,IL,60632,14,33,9,41.80297107,-87.69112391
60440-20110616,3021 W 36TH ST  1,CHICAGO,IL,60632,12,12,9,41.82804376,-87.70054546
2069501-20101203,5653 N CLARK ST GROUND ,CHICAGO,IL,60660,48,37,20,41.98487816,-87.66890769
62335-20110616,4887 S ARCHER AVE 1ST ,CHICAGO,IL,60632,14,13,8,41.80439642,-87.71981035
62824-20110616,3221 W 36TH ST 1 ,CHICAGO,IL,60632,12,11,9,41.82793377,-87.70492489
2049570-20100809,7015 N GLENWOOD AVE 1 ,CHICAGO,IL,60626,49,25,24,42.0096175,-87.6656488
2069502-20101203,14 N PEORIA ST 6TH 6F,CHICAGO,IL,60607,27,1,12,41.88217291,-87.64985651
64616-20110616,3848 W 49TH ST  1,CHICAGO,IL,60632,14,13,8,41.8043717,-87.72031028
65660-20110616,6902 S DAMEN AVE 1ST ,CHICAGO,IL,60636,17,64,7,41.76833014,-87.67376807
2069503-20101203,1410 W FULTON ST 2ND FLOOR 201,CHICAGO,IL,60607,27,33,12,41.88668673,-87.66297259
66394-20110616,5213 S ARCHER AVE 1ST ,CHICAGO,IL,60632,23,41,8,41.79979422,-87.73506967
66443-20110616,7239 S WESTERN AVE 1ST ,CHICAGO,IL,60636,18,5,8,41.76171279,-87.68301403
2048987-20101028,2036 W ARMITAGE AVE 1 1,CHICAGO,IL,60647,32,5,14,41.91783852,-87.67908531
67023-20110616,7056 S WESTERN AVE 1ST ,CHICAGO,IL,60636,17,60,8,41.76484726,-87.68339282
72024-20110616,2551 W 47TH ST 1ST ,CHICAGO,IL,60632,12,17,9,41.80825667,-87.68894528
61393-20101216,7256 S EXCHANGE AVE  ,CHICAGO,IL,60649,7,40,3,41.7630042,-87.56401329
74613-20110616,5631 S WESTERN AVE 1ST ,CHICAGO,IL,60636,16,6,8,41.79133127,-87.68382419
81594-20110616,7026 S WESTERN AVE 1ST ,CHICAGO,IL,60636,17,60,8,41.76569147,-87.68341668
22308-20100816,3741 S PULASKI RD  1,CHICAGO,IL,60623,,,8,41.82531993,-87.72396
46533-20100916,222 W ADAMS ST  ,CHICAGO,IL,60606,2,49,1,41.87948775,-87.63444223
81808-20110616,2819 W 55TH ST  ,CHICAGO,IL,60632,16,32,8,41.79356573,-87.69467904
1574460-20101216,2422 E 75TH ST  ,CHICAGO,IL,60649,7,48,3,41.7591086,-87.56546106
81882-20110616,3500  -03506 S KEDZIE AVE 1ST ,CHICAGO,IL,60632,12,11,9,41.82977496,-87.70475351
82441-20110616,4137 S KEDZIE AVE 1ST ,CHICAGO,IL,60632,14,26,9,41.81792707,-87.70421524
82896-20110616,4151 S KEDZIE AVE 1ST ,CHICAGO,IL,60632,14,26,9,41.81749467,-87.70419789
13100-20110616,1448 W 59TH ST 1ST ,CHICAGO,IL,60636,16,5,7,41.78689771,-87.66148932
14970-20110616,3868 S ARCHER AVE  1,CHICAGO,IL,60632,12,21,9,41.82326125,-87.68953147
15266-20110616,4269 S ARCHER AVE  1ST,CHICAGO,IL,60632,,,9,41.81573877,-87.70132647
15519-20110616,5921 S WESTERN AVE  1ST,CHICAGO,IL,60636,16,44,8,41.78590257,-87.68366994
79023-20101216,4237 N WESTERN AVE  1ST F,CHICAGO,IL,60618,47,8,19,41.95880211,-87.68846073
20134-20110616,5165 S ARCHER AVE  ,CHICAGO,IL,60632,23,10,8,41.80014897,-87.73274205
20174-20110616,1515 W 74TH ST 1ST ,CHICAGO,IL,60636,17,29,7,41.75935464,-87.66268765
20195-20110616,1515 W 74TH ST 1ST ,CHICAGO,IL,60636,17,29,7,41.75935464,-87.66268765
2069513-20101206,1553 E HYDE PARK BLVD 1 1,CHICAGO,IL,60615,4,38,2,41.80237398,-87.5871808
2179355-,105 W MADISON ST 1 ,CHICAGO,IL,60602,42,9,1,41.88186603,-87.63106647
24492-20110616,2813 W 55TH ST  1ST,CHICAGO,IL,60632,16,32,8,41.79357049,-87.69440454
46599-20100916,150 S WACKER DR  56,CHICAGO,IL,60606,2,12,1,41.87941085,-87.63710396
2163730-20120629,7232 N WESTERN AVE  ,CHICAGO,IL,60645,50,9,24,42.01319304,-87.69038959
2163712-20120629,1925 W HUBBARD ST 1ST C,CHICAGO,IL,60622,27,27,12,41.88964032,-87.67545622
2069521-20101203,5225 W NORTH AVE 1ST ,CHICAGO,IL,60639,37,41,25,41.90938134,-87.75662889
2162975-20120622,7006 N WESTERN AVE  1,CHICAGO,IL,60645,50,15,24,42.0088566,-87.69031557
25567-20110616,6234 S WESTERN AVE  1ST,CHICAGO,IL,60636,15,29,8,41.77999077,-87.68380756
2162906-20120622,5612 S PULASKI RD  STREE,CHICAGO,IL,60629,13,15,8,41.79093912,-87.72324413
27262-20110616,2101 W 69TH ST  1,CHICAGO,IL,60636,17,64,7,41.76830346,-87.67611194
28251-20110616,2250 W 69TH ST  OWNER,CHICAGO,IL,60636,17,58,8,41.76847303,-87.68068625
2162870-20120621,7045 W ADDISON ST 1ST ,CHICAGO,IL,60634,36,7,16,41.94523859,-87.80268773
2162877-20120621,13259 S BALTIMORE AVE 1ST ,CHICAGO,IL,60633,10,15,4,41.65376948,-87.54700272
2162866-20120621,6616 S PULASKI RD 1 ,CHICAGO,IL,60629,13,46,8,41.77267339,-87.72275553
33630-20110616,2707 W 51ST ST FRNT ,CHICAGO,IL,60632,14,19,9,41.80091476,-87.69189091
35952-20110616,6623 S ASHLAND AVE  ,CHICAGO,IL,60636,17,46,7,41.77330208,-87.66390495
1959035-20111016,5953 W IRVING PARK RD 1ST ,CHICAGO,IL,60634,38,48,16,41.95295385,-87.77647723
2069540-20101203,222 W MERCHANDISE MART PLZ 15TH 1524A,CHICAGO,IL,60654,42,14,18,41.88807428,-87.6349552
1336239-20100816,2501 S WHIPPLE ST  ,CHICAGO,IL,60623,12,15,10,41.8462917,-87.70126836
46801-20100916,222 N LA SALLE ST 1ST ,CHICAGO,IL,60601,42,9,1,41.8863516,-87.63261395
2069549-20101210,3802 W 26TH ST 1 ,CHICAGO,IL,60623,22,13,10,41.84442575,-87.71982958
2069553-20101203,5718 S ARCHER AVE 1ST ,CHICAGO,IL,60638,23,34,8,41.7969675,-87.75499091
2069557-20101206,3251 1/2 W BRYN MAWR AVE 1ST ,CHICAGO,IL,60659,40,48,17,41.98293456,-87.71089626
